t 	 Richness 	 Shannon Index 
647 	 128 	 2.312975 	 0.476702 
648 	 125 	 2.305348 	 0.477464 
649 	 123 	 2.297646 	 0.477464 
650 	 117 	 2.289502 	 0.480768 
651 	 116 	 2.279149 	 0.479458 
652 	 116 	 2.261240 	 0.475691 
653 	 114 	 2.257390 	 0.476625 
654 	 111 	 2.241685 	 0.475989 
655 	 109 	 2.222280 	 0.473698 
656 	 109 	 2.189087 	 0.466622 
657 	 111 	 2.162598 	 0.459196 
658 	 111 	 2.143322 	 0.455103 
659 	 114 	 2.113339 	 0.446210 
660 	 117 	 2.087145 	 0.438276 
661 	 120 	 2.071925 	 0.432779 
662 	 125 	 2.064863 	 0.427657 
