t 	 Richness 	 Shannon Index 	 Evenness 
591 	 4 	 0.584082 	 0.421326 
592 	 4 	 0.558717 	 0.403029 
593 	 4 	 0.534178 	 0.385328 
594 	 4 	 0.510490 	 0.368241 
595 	 4 	 0.487670 	 0.351779 
596 	 4 	 0.465724 	 0.335949 
597 	 4 	 0.444657 	 0.320752 
598 	 4 	 0.424465 	 0.306187 
599 	 4 	 0.405141 	 0.292247 
600 	 4 	 0.386670 	 0.278923 
601 	 4 	 0.369038 	 0.266205 
602 	 4 	 0.352227 	 0.254078 
603 	 4 	 0.336214 	 0.242527 
604 	 4 	 0.320975 	 0.231534 
605 	 4 	 0.306487 	 0.221083 
606 	 5 	 0.290943 	 0.180773 
607 	 5 	 0.277968 	 0.172711 
608 	 5 	 0.265659 	 0.165063 
609 	 5 	 0.253988 	 0.157812 
610 	 5 	 0.242928 	 0.150940 
611 	 5 	 0.232452 	 0.144430 
612 	 5 	 0.222531 	 0.138267 
613 	 5 	 0.213141 	 0.132432 
614 	 5 	 0.204255 	 0.126911 
615 	 5 	 0.195848 	 0.121687 
616 	 5 	 0.187897 	 0.116747 
617 	 5 	 0.180376 	 0.112074 
618 	 5 	 0.173266 	 0.107656 
619 	 5 	 0.166542 	 0.103478 
620 	 5 	 0.160185 	 0.099529 
621 	 5 	 0.154175 	 0.095794 
622 	 5 	 0.148493 	 0.092264 
623 	 5 	 0.143121 	 0.088926 
624 	 5 	 0.138041 	 0.085770 
625 	 5 	 0.133238 	 0.082786 
626 	 5 	 0.128696 	 0.079964 
627 	 5 	 0.124401 	 0.077295 
628 	 5 	 0.120338 	 0.074770 
629 	 5 	 0.116495 	 0.072382 
630 	 5 	 0.112858 	 0.070123 
631 	 5 	 0.109417 	 0.067985 
632 	 5 	 0.106160 	 0.065961 
633 	 5 	 0.103078 	 0.064046 
634 	 5 	 0.100159 	 0.062232 
635 	 5 	 0.097394 	 0.060515 
636 	 5 	 0.094776 	 0.058888 
637 	 5 	 0.092296 	 0.057347 
638 	 5 	 0.089946 	 0.055886 
639 	 5 	 0.087718 	 0.054502 
640 	 5 	 0.085607 	 0.053190 
641 	 5 	 0.083604 	 0.051946 
642 	 5 	 0.081706 	 0.050767 
643 	 5 	 0.079905 	 0.049648 
644 	 5 	 0.078196 	 0.048586 
645 	 5 	 0.076574 	 0.047578 
646 	 5 	 0.075035 	 0.046622 
647 	 5 	 0.073574 	 0.045714 
648 	 5 	 0.072187 	 0.044852 
649 	 5 	 0.070869 	 0.044034 
650 	 5 	 0.069618 	 0.043256 
651 	 5 	 0.068429 	 0.042517 
652 	 5 	 0.067300 	 0.041816 
653 	 5 	 0.066226 	 0.041149 
654 	 5 	 0.065206 	 0.040515 
655 	 6 	 0.064016 	 0.035728 
656 	 6 	 0.063109 	 0.035222 
657 	 6 	 0.062248 	 0.034741 
658 	 6 	 0.061429 	 0.034284 
659 	 6 	 0.060651 	 0.033850 
660 	 6 	 0.059912 	 0.033437 
